Location Name;Parent Location;Location Type;Stock Valuation Account (Incoming);Stock Valuation Account (Outgoing)
Inventory Loss Daging;Virtual Locations;Inventory Loss;51000001;51000001
Inventory Loss Ikan;Virtual Locations;Inventory Loss;51000002;51000002
Inventory Loss Sayuran;Virtual Locations;Inventory Loss;51000003;51000003
Inventory Loss Keringan;Virtual Locations;Inventory Loss;51000004;51000004
Inventory Loss Buah;Virtual Locations;Inventory Loss;51000005;51000005
Inventory Loss Fresh Drink;Virtual Locations;Inventory Loss;51000006;51000006
Inventory Loss Rokok;Virtual Locations;Inventory Loss;51000007;51000007
Inventory Loss Makanan;Virtual Locations;Inventory Loss;51000008;51000008
Inventory Loss Minuman;Virtual Locations;Inventory Loss;51000009;51000009
Inventory Loss Makanan Olahan;Virtual Locations;Inventory Loss;51000011;51000011
Inventory Loss Lainnya;Virtual Locations;Inventory Loss;51000012;51000012
