ID;Internal Reference;Barcode;Name;Cost;Sales Price;Product Category;Unit of Measure;Costing Method;Product Type
13170-0001;13170-0001;;Wafer Tango Pandan 171 Gr;7168;12916;Persediaan Makanan;Units;average;Storable Product
13170-0002;13170-0002;;Yuppy Apple 120G;6450;7700;Persediaan Makanan;Units;average;Storable Product
13170-0003;13170-0003;;Alfredo 4 Season 200Gr;72000;86000;Persediaan Makanan;Units;average;Storable Product
13170-0004;13170-0004;;Alfredo Choco Milk & Dark 110G;43000;50400;Persediaan Makanan;Units;average;Storable Product
13170-0005;13170-0005;;Alpenliebble Original With Mil;4650;5725;Persediaan Makanan;Units;average;Storable Product
13170-0006;13170-0006;;Apollo Roka Reff 480Gr;44000;50600;Persediaan Makanan;Units;average;Storable Product
13170-0007;13170-0007;;Apollo Roka Toples;50000;61200;Persediaan Makanan;Units;average;Storable Product
13170-0008;13170-0008;;Astor Double 330 G;23850;27500;Persediaan Makanan;Units;average;Storable Product
13170-0009;13170-0009;;Biskitop Durian 400Gr;29167;33000;Persediaan Makanan;Units;average;Storable Product
13170-0010;13170-0010;;Biskitop Traditional 1500G;395833;69000;Persediaan Makanan;Units;average;Storable Product
13170-0011;13170-0011;;Cadbury Dairi Milk Almond Nut;47290;52019;Persediaan Makanan;Units;average;Storable Product
13170-0012;13170-0012;;Cavalier Choco Milk 44 Gr;28000;31000;Persediaan Makanan;Units;average;Storable Product
13170-0013;13170-0013;;Cha Cha Coklat 85G;11990;15000;Persediaan Makanan;Units;average;Storable Product
13170-0014;13170-0014;;Champ Hicken Ball 200G;8175;17175;Persediaan Makanan;Units;average;Storable Product
13170-0015;13170-0015;;Chitato Chicken Bbq 40G;4500;6500;Persediaan Makanan;Units;average;Storable Product
13170-0016;13170-0016;;Chitato Chicken Bbq 75G;7833;10500;Persediaan Makanan;Units;average;Storable Product
13170-0017;13170-0017;;Coco Almonds 100 Gr;25052;30000;Persediaan Makanan;Units;average;Storable Product
13170-0018;13170-0018;;Coco Creamy Milk 100Gr;25000;30000;Persediaan Makanan;Units;average;Storable Product
13170-0019;13170-0019;;Coco Fruit & Nuts 100Gr;25139;30000;Persediaan Makanan;Units;average;Storable Product
13170-0020;13170-0020;;Coco Hazelnuts 100Gr;25000;30000;Persediaan Makanan;Units;average;Storable Product
13170-0021;13170-0021;;Coco Multi Pack 3X50Gr;40000;48000;Persediaan Makanan;Units;average;Storable Product
13170-0022;13170-0022;;Coco Multi Pack Assorted 100G;48000;55000;Persediaan Makanan;Units;average;Storable Product
13170-0023;13170-0023;;Coco Multi Pak Assor Bar 100Gr;71399;84000;Persediaan Makanan;Units;average;Storable Product
13170-0024;13170-0024;;Cornet Beef Cip 198G;11688;13500;Persediaan Makanan;Units;average;Storable Product
13170-0025;13170-0025;;Magnum Mini Clasic;48360;35236;Persediaan Makanan;Units;average;Storable Product
13170-0026;13170-0026;;Mentos Anggur;3927;5301;Persediaan Makanan;Units;average;Storable Product
13170-0027;13170-0027;;Mentos Buah;2277;2504;Persediaan Makanan;Units;average;Storable Product
13170-0028;13170-0028;;Mentos Mint;2277;2504;Persediaan Makanan;Units;average;Storable Product
13170-0029;13170-0029;;Milna Ayam Sayur 120 G;22707;23845;Persediaan Makanan;Units;average;Storable Product
13170-0030;13170-0030;;Milna Biscuit Aple+Orange 65G;6161;7000;Persediaan Makanan;Units;average;Storable Product
13170-0031;13170-0031;;Mini Black Orange 45G;1816;3566;Persediaan Makanan;Units;average;Storable Product
13170-0032;13170-0032;;Mio Fullo Coklat;410;1000;Persediaan Makanan;Units;average;Storable Product
13170-0033;13170-0033;;Mlkuat Tiger Straw 170 Ml;3601;4500;Persediaan Makanan;Units;average;Storable Product
13170-0034;13170-0034;;Mr Bamboe Daun Kemangi 20Gr;16305;18805;Persediaan Makanan;Units;average;Storable Product
13170-0035;13170-0035;;Much Better Vanila;792;1000;Persediaan Makanan;Units;average;Storable Product
13170-0036;13170-0036;;Nestle Cereal Cbl Brown R. 120;8303;8750;Persediaan Makanan;Units;average;Storable Product
13170-0037;13170-0037;;Nestle Cerelac Serealia Oats 1;14541;16500;Persediaan Makanan;Units;average;Storable Product
13170-0038;13170-0038;;Nestle Cruch Chips Orange 14G;842;1500;Persediaan Makanan;Units;average;Storable Product
13170-0039;13170-0039;;Nestle Crunch Chios Orng 60Gr;4576;6000;Persediaan Makanan;Units;average;Storable Product
13170-0040;13170-0040;;Nestle Crunch Chip Peanut 60Gr;4576;6000;Persediaan Makanan;Units;average;Storable Product
13170-0041;13170-0041;;Nestle Crunch Chips 30G;2377;3500;Persediaan Makanan;Units;average;Storable Product
13170-0042;13170-0042;;Nestle Crunch Chips 60G;4576;6000;Persediaan Makanan;Units;average;Storable Product
13170-0043;13170-0043;;Nestle Crunch Chips Sac 14G;842;1500;Persediaan Makanan;Units;average;Storable Product
13170-0044;13170-0044;;Nestle Crunch Chips Straw 30G;2377;3500;Persediaan Makanan;Units;average;Storable Product
13170-0045;13170-0045;;Nestle Crunch Chips Straw 60G;4576;6000;Persediaan Makanan;Units;average;Storable Product
13170-0046;13170-0046;;Nissin Wafer Blueberry 100 Gr;13000;15000;Persediaan Makanan;Units;average;Storable Product
13170-0047;13170-0047;;Panner Pie 168G;15750;17500;Persediaan Makanan;Units;average;Storable Product
13170-0048;13170-0048;;Permen Mintz Tpl/C;15256;17000;Persediaan Makanan;Units;average;Storable Product
13170-0049;13170-0049;;Piatos Ayam Panggang 55 G;4439;6000;Persediaan Makanan;Units;average;Storable Product
13170-0050;13170-0050;;Piatos Keju 55 Gr;4334;6000;Persediaan Makanan;Units;average;Storable Product
13180-0001;13180-0001;;Adem Sari Hanger 24;1235;1875;Persediaan Minuman;Units;average;Storable Product
13180-0002;13180-0002;;Wong Coco Nata De Coco Cp 1000;17500;21000;Persediaan Minuman;Units;average;Storable Product
13180-0003;13180-0003;;Wong Coco Nata De Coco Lc 1000;17500;21000;Persediaan Minuman;Units;average;Storable Product
13180-0004;13180-0004;;Anmum Materna 400G;70000;73500;Persediaan Minuman;Units;average;Storable Product
13180-0005;13180-0005;;Anmum Materna Coklat 400Gr;70000;77000;Persediaan Minuman;Units;average;Storable Product
13180-0006;13180-0006;;Chil Mil Platinum 400G;112420;118040;Persediaan Minuman;Units;average;Storable Product
13180-0007;13180-0007;;Chil School Coklat 200Gr;29467;30205;Persediaan Minuman;Units;average;Storable Product
13180-0008;13180-0008;;Chil School Coklat 800Gr;182859;191153;Persediaan Minuman;Units;average;Storable Product
13180-0009;13180-0009;;Chil School Plat Choco 400Gr;57575;59715;Persediaan Minuman;Units;average;Storable Product
13180-0010;13180-0010;;Chil School Plat Coklat 400Gr;93500;98175;Persediaan Minuman;Units;average;Storable Product
13180-0011;13180-0011;;Chil School Plat Madu 800Gr;184621;191153;Persediaan Minuman;Units;average;Storable Product
13180-0012;13180-0012;;Chil School Straw 200Gr;123111;32011;Persediaan Minuman;Units;average;Storable Product
13180-0013;13180-0013;;Coca Cola Zero;5484;6500;Persediaan Minuman;Units;average;Storable Product
13180-0014;13180-0014;;Cornet Beef Cip Mushroom 340G;16250;19000;Persediaan Minuman;Units;average;Storable Product
13180-0015;13180-0015;;Cornetto Disk Strwchesse 120Ml;8840;10120;Persediaan Minuman;Units;average;Storable Product
13180-0016;13180-0016;;Cornetto Mini Bscoth&Cho 28Ml;16517;35910;Persediaan Minuman;Units;average;Storable Product
